film_id,title,directors,actor_count,screenwriters,production_companies,genres,award_count,nomination_count,role_count,intro_chars,wikitext_chars,source_url
IMDB:tt1156398,尸乐园,鲁宾·费利沙,6,雷特·瑞斯|保罗·沃尼克,,动作|喜剧|恐怖,0,0,0,123,0,https://www.imdb.com/title/tt1156398/
IMDB:tt6320628,蜘蛛侠：英雄远征,乔恩·沃茨,10,克里斯·麦肯纳 (编剧)|埃里克·索莫斯|斯坦·李|史蒂夫·迪特科|乔·西蒙|杰克·科比,,动作|冒险|喜剧,0,0,0,156,0,https://www.imdb.com/title/tt6320628/
IMDB:tt1024648,逃离德黑兰,本·阿弗莱克,10,克里斯·泰瑞欧|乔舒亚·比尔曼,,传记|剧情|历史,0,0,0,158,0,https://www.imdb.com/title/tt1024648/
IMDB:tt4154664,惊奇队长,安娜·波顿,10,安娜·波顿|吉内瓦·德沃莱特-罗宾森|尼科尔·帕尔曼|梅格·勒福夫,,动作|冒险|科幻,0,0,0,148,0,https://www.imdb.com/title/tt4154664/
IMDB:tt0119654,黑衣人,巴里·索南菲尔德,9,洛厄尔·坎宁安|埃德·所罗门,,动作|冒险|喜剧,0,0,0,155,0,https://www.imdb.com/title/tt0119654/
IMDB:tt0417741,哈利波特与混血王子,大卫·叶茨,10,史蒂夫·克勒伍|乔安妮·凯瑟琳·罗琳,,冒险|家庭|奇幻,0,0,0,165,0,https://www.imdb.com/title/tt0417741/
IMDB:tt6644200,寂静之地,约翰·卡拉辛斯基,6,布莱恩·伍兹|斯科特·贝克|约翰·卡拉辛斯基,,剧情|恐怖|科幻,0,0,0,129,0,https://www.imdb.com/title/tt6644200/
IMDB:tt0097165,死亡诗社,彼得·威尔,8,汤姆·舒尔曼,,喜剧|剧情,0,0,0,140,0,https://www.imdb.com/title/tt0097165/
IMDB:tt0119488,洛城机密,柯蒂斯·汉森,10,詹姆斯·埃尔罗伊|布莱恩·海尔格兰德|柯蒂斯·汉森,,犯罪|剧情|悬疑,0,0,0,151,0,https://www.imdb.com/title/tt0119488/
IMDB:tt0034583,卡萨布兰卡,麦可·寇蒂斯,9,茱里奥斯·艾柏士坦|霍华德·科克|凯西·罗宾逊,,剧情|爱情|战争,0,0,0,145,0,https://www.imdb.com/title/tt0034583/
IMDB:tt6710474,瞬息全宇宙,关家永,9,关家永,,动作|冒险|喜剧,0,0,0,131,0,https://www.imdb.com/title/tt6710474/
